Sample_Name,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Sample_Species,index,label,MaternalLine,FlowerHead,State,County,Latitude,Longitude,Google_latitude,Google_longitude,Adapted_Longitude,Adapted_Latitude,PC1_variance,PC2_variance,shape_number
Boltonia_256,0.016728,-0.00234525,0.00124308,-0.00520349,-0.00458132,1.26104e-5,-6.24693e-4,0.00971321,-0.00107715,-9.35848e-4,B. decurrens,256,2-5-1,2011-2638-1,20C,Illinois,Scott,39.7852777,-90.5902777,39.786569766256626,-90.58910563509704,-90.5902777,39.7852777,4.494366810369465,1.7090556653626248,23
Boltonia_257,0.0185588,-0.00220634,0.0018921,-0.0145344,-0.0193438,0.00343603,-0.00477567,0.0420854,5.59897e-4,-9.48601e-4,B. decurrens,257,2-3-9,2011-2650-1,1A,Illinois,Woodford,40.8852777,-89.4583333,40.84668797480775,-89.0297386240063,-89.4583333,40.8852777,4.494366810369465,1.7090556653626248,23
Boltonia_258,0.0183739,-0.00286547,8.11274e-4,-0.013142,-0.0180624,0.00185616,-0.00498802,0.0382746,0.00110044,-0.00201957,B. decurrens,258,5-2-2,2011-2623-1,19A,Illinois,Hennepin,NA,NA,41.34414603458205,-89.55849691836283,-89.55849691836283,41.34414603458205,4.494366810369465,1.7090556653626248,23
Boltonia_259,0.0179746,-0.00147674,0.00244345,-0.0102417,-0.0137502,0.00257486,-0.00104424,0.014696,-0.00116718,-8.15381e-4,B. decurrens,259,9-1-9,2011-2598-1,S10D,Illinois,Jersey,NA,NA,38.961398423802066,-90.51481032460988,-90.51481032460988,38.961398423802066,4.494366810369465,1.7090556653626248,23
Boltonia_260,0.0139343,1.46749e-4,0.00137073,-0.00291039,-0.00296799,3.70617e-4,-8.73317e-4,0.00714541,-0.00109385,5.80707e-4,B. decurrens,260,1-6-12,2011-2636-1,19,Illinois,Cass,40.010555600000004,-90.4458333,40.0178975293398,-90.42445029519196,-90.4458333,40.010555600000004,4.494366810369465,1.7090556653626248,23
Boltonia_261,-9.56596e-4,0.0019648,0.00179832,0.071372,0.122095,-0.0220211,-0.00465182,-0.0228022,0.0080559,-0.0522638,B. decurrens,261,12-5-11,2011-2635-1,13,Illinois,Alton,NA,NA,38.86501904919102,-90.22302347588696,-90.22302347588696,38.86501904919102,4.494366810369465,1.7090556653626248,23
Boltonia_262,-0.00374365,0.00156301,0.00137696,0.0599305,0.0794465,-0.014214,0.00122695,-0.00639369,-0.00115316,0.019980500000000002,B. decurrens,262,5-2-5,2011-2599-1,11,Illinois,Saint Clair,38.6494444,-90.1161111,38.651507278988504,-90.10298738781108,-90.1161111,38.6494444,4.494366810369465,1.7090556653626248,23
Boltonia_263,0.0174526,-0.00202989,0.00222349,-0.0102197,-0.0165999,0.00300744,-0.00456463,0.0334068,-8.44886e-4,-6.97861e-5,B. decurrens,263,9-4-9,2011-2618-1,20C,Illinois,Peoria,40.7222223,-89.5519444,40.69352232924267,-89.59142458669179,-89.5519444,40.7222223,4.494366810369465,1.7090556653626248,23
Boltonia_264,0.0180308,-8.37627e-4,0.00381336,-0.00919851,-0.0130665,0.00100279,-0.00159666,0.0148945,-8.3685e-4,-0.00115482,B. decurrens,264,5-4-10,2011-2598-1,S15B,Illinois,Jersey,NA,NA,38.961398423802066,-90.51481032460988,-90.51481032460988,38.961398423802066,4.494366810369465,1.7090556653626248,23
Boltonia_265,0.0158219,-0.00110957,0.00136555,-0.00649518,-0.00823985,0.00114211,6.13161e-4,0.00648528,4.34605e-4,0.00120178,B. decurrens,265,10-6-1,2011-2675-1,12B,Illinois,Schuyler,40.0672223,-90.4275,40.07010712467176,-90.42899627731744,-90.4275,40.0672223,4.494366810369465,1.7090556653626248,23
Boltonia_267,0.0173373,-8.2293e-4,0.00293311,-0.00823486,-0.0126642,0.00139203,-0.00144491,0.0137032,-0.00126489,-9.65277e-4,B. decurrens,267,2-1-12,2011-2598-1,S11C,Illinois,Jersey,NA,NA,38.961398423802066,-90.51481032460988,-90.51481032460988,38.961398423802066,4.494366810369465,1.7090556653626248,23
Boltonia_268,0.0198975,-0.00240619,0.00133771,-0.0149825,-0.0217562,0.0026083,-0.00623119,0.0501179,0.0019017,-0.00108667,B. decurrens,268,6-2-5,2011-2629-1,9A,Illinois,Marshal,41.045,-89.4311111,41.02868892611459,-89.43846248262098,-89.4311111,41.045,4.494366810369465,1.7090556653626248,23
Boltonia_269,0.0177953,-0.00289903,0.00159793,-0.0117395,-0.0178937,0.00184714,-0.00412459,0.041697,-2.4919e-4,9.21291e-5,B. decurrens,269,7-1-7,2011-2650-1,27B,Illinois,Woodford,40.8852777,-89.4583333,40.84668797480775,-89.0297386240063,-89.4583333,40.8852777,4.494366810369465,1.7090556653626248,23
